It is only partnerships that will get us to our goals: PM Modi,"Good Governance,Governance Reform,Nari Shakti,Women Empowerment,Children,National Health Mission,Healthcare,Research,Transforming India,UNICEF,Pradhan Mantri Matru Vandana Yojana,Mission Indradhanush,Vasudhaiva Kutumbakam,AASHA Workers,Growth,Development,Aspirational Districts,Rural Development,Swachh Bharat Abhiyan,Open Defecation Free,Education,Beti Bachao Beti Padhao,Sukanya Samriddhi Account,Banking,Direct Benefit Transfer,“Poshan-Maah”,Yoga,Fit India,Pradhan Mantri Jan Arogya Yojana,Human Development,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/pm-modi-to-inaugurate-partners-forum-2018,1
"PM's statement to media at the start of the Winter Session of Parliament","Parliament,Winter Session,Democracy,Development,Media,Good Governance,Governance Reform,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/pm-s-statement-to-media-at-the-start-of-the-winter-session-of-parliament-,2
"'Minimum Government, Maximum Governance' and 'Sabka Saath, Sabka Vikas' form the basis of New India: PM Modi","Dainik Jagran,Good Governance,Freedom Fighters,Social Reformer,Media,India First,Beti Bachao Beti Padhao,Citizen Engagement,Video Conference,Swachh Bharat Abhiyan,Sabka Saath Sabka Vikas,Governance Reform,Jan Bhagidari,Yuva Shakti,Jobs,Employment,Development,Resources,Agriculture,Nature,Space Technology,Technology,Electricity for all,Road,Innovation,Sant Kabir,Indian Railways,Infrastructure,Empowering the Poor,Pradhan Mantri Gram Sadak Yojana,LPG,Pradhan Mantri Ujjwala Yojana,Jan Dhan Yojana,Income Tax,GST Bill,Education,Pradhan Mantri Jan Arogya Yojana,Highway,Waterways,UDAN,Airport,Digital India,Ayushman Bharat Yojana,Information Technology,Sovereign Gold Bond Scheme,Nari Shakti,Women Empowerment,New India,Pradhan Mantri Krishi Sinchai Yojna,G-20,Economy,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-address-at-jagran-forum-on-the-occasion-of-75th-anniversary-celebration-of-dainik-jagran-,3
"For Congress, only one family comes first; for us the people of India are our high command: PM Modi","Rajasthan,BJP,Karyakarta,Meeting,Public Rally,Election,Good Governance,Governance Reform,Mera Booth Sabse Mazboot,Voters,Citizen Engagement,Corruption,Ease Of Living,Banking,Farmer Welfare,Agriculture,Farmers,Pradhan Mantri Ujjwala Yojana,Empowering the Poor,Nari Shakti,Women Empowerment,Pradhan Mantri Awas Yojana,Education,Electricity for all,Girl Child Education,Sabka Saath Sabka Vikas,Development,Infrastructure,Yuva Shakti,Jobs,Pradhan Mantri Krishi Sinchai Yojna,Tribal Community,Khadi,Employment,MSME,Swachh Bharat Abhiyan,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-speech-in-sumerpur-rajasthan,4
"Congress’ ""fatwa"" that I should not begin rallies with ""Bharat Mata Ki Jai” shows their disrespect for our Motherland: PM Modi","Rajasthan,BJP,Election,Karyakarta,Public Rally,Meeting,Good Governance,Governance Reform,Defence,Navy Day,Indian Navy,Nari Shakti,Women Empowerment,Make In India,Navika Sagar Parikrama,Environment,Guru Nanak Dev,Infrastructure,Democracy,Kartarpur Sahib Corridor,Voters,Farmer Welfare,Farmers,Pradhan Mantri Krishi Sinchai Yojna,Irrigation,Drip Irrigation,Human Development,Surgical Strike,Technology,Solar Power,Clean Energy,Solar Pump,One Rank One Pension,Industries,Hanumangarh,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-speech-in-hanumangarh-rajasthan,5
Time to reject dynastic politics in Telangana: PM Modi in Hyderabad,"Telangana,Hyderabad,Public Rally,Election,BJP,Sabka Saath Sabka Vikas,Atal Bihari Vajpayee,MUDRA,Start up India,Stand up India,Ayushman Bharat Yojana,Speeches,Constitution,Dr. Rajendra Prasad,Supreme Court,LPG,LED,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-speech-in-hyderabad-telangana,6
Congress party has become the “University of Lies”: PM Modi,"BJP,Rajasthan,Election,Good Governance,Governance Reform,Karyakarta,Defence,Empowering the Poor,Culture,Corruption,Media,Public Rally,Citizen Engagement,Electricity for all,Road,Infrastructure,Development,Freedom Fighters,Sardar Patel,Somnath Temple,Supreme Court,Democracy,Constitution,Environment,Society,Tourism,Trade,Swachh Bharat Abhiyan,Mahatma Gandhi,Jobs,Employment,Yuva Shakti,Nari Shakti,Women Empowerment,Solar Power,Clean Energy,Human Development,Farmer Welfare,Agriculture,Farmers,MSP,Neem Coating Urea,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-modi-s-speech-at-jodhpur-rajasthan,7
PM Modi addresses BRICS members meeting in Argentina,"BRICS,Argentina,India First,International,Buenos Aires,Economy,GDP,WTO,World Bank,G-20,Infrastructure,Sustainable Development Goals,Terrorism,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/pm-modi-addresses-brics-members-meeting-in-argentina,8
"Born with a golden spoon, Congress party has been for serving its own interests for generations: PM Modi","Rajasthan,BJP,Election,Karyakarta,Public Rally,Citizen Engagement,Good Governance,Governance Reform,Empowering the Poor,Development,Sabka Saath Sabka Vikas,Infrastructure,Democracy,Corruption,Agriculture,Children,Farmer Welfare,Education,Ayushman Bharat Yojana,Health,Water Conservation,Drinking Water Supply Scheme,Pradhan Mantri Awas Yojana,Housing,Nari Shakti,Women Empowerment,Swachh Bharat Abhiyan,LED,Neem Coating Urea,Pradhan Mantri Ujjwala Yojana,Yuva Shakti,Jobs,Employment,Surgical Strike,One Rank One Pension,Defence,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-speech-in-nagaur-rajasthan,9
Congress and TRS are playing a friendly match in Telangana: PM Modi,"Telangana,BJP,Election,Good Governance,Governance Reform,Karyakarta,Yuva Shakti,Nizamabad,Sports,Commonwealth,New India,India First,Public Rally,Voters,Citizen Engagement,Development,Infrastructure,Sabka Saath Sabka Vikas,Patriot,Corruption,Freedom Fighters,Jobs,Road,Electricity for all,Drinking Water Supply Scheme,Economy,Empowering the Poor,Ayushman Bharat Yojana,Healthcare,Students,Pradhan Mantri Jan Aushadhi Yojna,Banking,Tribal Community,Minority,Pradhan Mantri Ujjwala Yojana,LPG,LED,Education,Saubhagya,Direct Benefit Transfer,MNREGA,Jan Dhan Yojana,AMRUT,Pradhan Mantri Awas Yojana,Indian Railways,Farmers,Farmer Welfare,Agriculture,Statue of Unity,Sardar Patel,MSP,Nari Shakti,Women Empowerment,Speeches,Captain Jai Narain Prasad Nishad,Condolence",https://www.narendramodi.in/text-of-pm-s-speech-in-nizamabad-telangana,10
